Job Name,Company Name,Location,Level
DevOps Engineer,Công ty Cổ phẩn Lotus Quality Assurance,"- Hà Nội: tòa MHDI, Nam Từ Liêm",Nhân viên
Lập Trình Fullstack AngularJS,CÔNG TY TNHH MUMESOFT INNOVATION,"- Hà Nội: Tầng 6, số 12 Mễ Trì Hạ, phường Mễ Trì, Nam Từ Liêm",Trưởng nhóm
System Engineer,CÔNG TY CỔ PHẦN THIẾT BỊ VÀ TRUYỀN THÔNG NGS,"- Hà Nội: Tòa 6th Element Nguyễn Văn Huyên, Cầu Giấy",Nhân viên
Solution Architect,Công ty cổ phần chứng khoán VPS,- Hà Nội: Hai Bà Trưng,Nhân viên
Project Manager,Công ty TNHH SETA international Việt Nam,"- Hà Nội: Tòa nhà HL, ngõ 82, Duy Tân, Cầu Giấy",Nhân viên
DevOps Engineer,Công ty TNHH LP Technology,"- Hà Nội: Tòa nhà A Sông Đà, Đường Phạm Hùng, Phường Mỹ Đình I Hà Nội, Việt Nam, Nam Từ Liêm",Nhân viên
Manual Tester Bank,Công Ty Cổ Phần GoGroup,"- Hà Nội: 19 Lê văn lương, Cầu Giấy",Nhân viên
Nhân Viên IT IT Helpdesk,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN VẬT LIỆU MỚI VÀ CÔNG NGHỆ CAO H.P.T,"- Hà Nội: Lô C3.1- C3.2 Khu công nghệ cao Hòa Lạc, Quốc Oai - Hà Nội: Lô C3.1- C3.2 Khu công nghệ cao Hòa Lạc, Thạch Thất",Nhân viên
AI Engineer,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN TRÍ TUỆ NHÂN TẠO AIDIA,"- Hà Nội: Tầng 12, Tòa nhà CTM 139 Cầu Giấy, Cầu Giấy",Nhân viên
Kỹ Sư An Toàn Thông Tin,Công ty cổ phần tập đoàn MK,- Hà Nội: Cầu Giấy,Nhân viên
,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"- Hà Nội: Keangnam Landmark 72, Phạm Hùng, Từ Liêm",Nhân viên
Dự Án,Công ty TNHH Đầu tư phát triển và chuyển giao công nghệ Vina,"- Hà Nội: Tầng 5, Tòa Golden Park, 2 Phạm Văn Bạch, Yên Hòa, Cầu Giấy",Nhân viên
Lập Trình Viên,CÔNG TY CỔ PHẦN PHẦN MỀM THĂNG LONG,"- Hà Nội: Tòa Diamond Flower, 48 Lê Văn Lương, Thanh Xuân",Nhân viên
Nhân Viên Designer,Công Ty TNHH Velasboost,"- Hà Nội: Cự Khối, Long Biên",Nhân viên
Lập Trình Viên SQL,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),"- Hà Nội: 22 Láng Hạ, Phường Láng, Đống Đa",Nhân viên
AI Engineer,CÔNG TY TNHH THỊ GIÁC META,"- Hà Nội: Số 11 Nguyễn Khả Trạc, Mai Dịch, Cầu Giấy",Nhân viên
Chuyên Viên Kỹ Thuật Quản Trị Hệ Thống,TRUNG TÂM DỊCH VỤ CHUYỂN ĐỔI SỐ – CHI NHÁNH TỔNG CÔNG TY CÔNG NGHỆ - VIỄN THÔNG TOÀN CẦU (GTEL CDS),"- Hà Nội: 103 Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân",Nhân viên
IOS Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,"- Hà Nội: 21 Cát Linh, Đống Đa",Trưởng nhóm
IT Project Manager,Công ty cổ phần TechLead,"- Hà Nội: Tầng 4- Số 11 Nguyển Xiển - Thanh Xuân, Thanh Xuân",Quản lý / Giám sát
Trợ Lý ERP BA,Trung Tâm Ngoại Ngữ Binggo Leaders,"- Hà Nội: 201 Cầu Giấy, Cầu Giấy",Nhân viên
,CÔNG TY TNHH MỘT THÀNH VIÊN AN NINH MẠNG VIETTEL,"- Hà Nội: Keangnam Landmark 72, Phạm Hùng, Từ Liêm",Nhân viên
Manual Tester Bank,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ CODEE,"- Hà Nội: Trần Hưng Đạo, Hoàn Kiếm",Nhân viên
DevOps Engineer,CÔNG TY CỔ PHẦN VSI,"- Hà Nội: Tòa AC Building, số 3 ngõ 78 Phố Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Cầu Giấy",Nhân viên
System Engineer,VĂN PHÒNG ĐẠI DIỆN - CÔNG TY TNHH CÔNG NGHỆ DCSS (VIỆT NAM),"- Hà Nội: tòa nhà LADECO, số 266 Đội Cấn, Ba Đình",Nhân viên
Frontend Developer ReactJS,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,- Hà Nội,Trưởng nhóm
Nhân Viên QA Đảm Bảo Chất Lượng,CÔNG TY TNHH LIVESPO PHARMA,"- Hà Nội: 43 Quyết Thắng, Yên Nghĩa, Hà Đông, Bắc Từ Liêm",Nhân viên
Java Developer,Eastgate Software JSC,"- Hà Nội: Tầng 11, VCCI Tower, 09 Đào Duy Anh, Đống Đa",Nhân viên
Lập Trình Viên Backend Golang Đi Làm Ngay,CÔNG TY CỔ PHẦN CHUYỂN ĐỔI SỐ AIONTECH,"- Hà Nội: Số 1, Ngõ 106 Đường Hoàng Quốc Việt, Tổ 60, Phường Nghĩa Tân, Cầu Giấy",Nhân viên
IOS Developer,Công ty cổ phần phần mềm Matechmobile,"- Hà Nội: Tòa nhà Zen Tower, 12 Khuất Duy Tiến,Thanh Xuân Trung, Thanh Xuân, Thanh Xuân",Nhân viên
Kỹ Sư AI AI Engineer,Khối Công nghệ thông tin - Viettel Telecom,"- Hà Nội: Tầng 42 + 43, tòa nhà Keangnam Landmark 72 Phạm Hùng, Nam Từ Liêm",Nhân viên
Senior Business Analyst ERP,CÔNG TY CỔ PHẦN AUTHENTIC EDUCATION HUB,"- Hà Nội: Số 5 BT2, Khu đô thị Mễ Trì Hạ, phường Mễ Trì, Nam Từ Liêm",Nhân viên
Front End Developer React.JS,CÔNG TY CỔ PHẦN STRINGEE,"- Hà Nội: Tầng 17 VP 2, Tòa nhà Sunsquare, 21 Lê Đức Thọ, Nam Từ Liêm",Nhân viên
Game Artist,CÔNG TY CỔ PHẦN BLACKGEMS GLOBAL,"- Hà Nội: Tòa The Nine, số 9 Phạm Văn Đồng, Mai Dịch, Cầu Giấy",Nhân viên
Chuyên Viên Phân Tích Nghiệp Vụ Business Analyst,CÔNG TY CỔ PHẦN CÔNG NGHỆ FOXAI,"- Hà Nội: Tòa N03-T3, Khu Ngoại Giao Đoàn, Phường Xuân Đỉnh, Bắc Từ Liêm",Nhân viên
Golang Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ VI MÔ,"- Hà Nội: Tòa VTC Online - số 18 Tam Trinh, Hai Bà Trưng",Nhân viên
Quản Lý Sản Phẩm,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),"- Hà Nội: 97 Láng Hạ, Đống Đa",Nhân viên
Flutter Developer,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VÀ VIỄN THÔNG DOLPHIN,"- Hà Nội: 81 Lê Đức Thọ,Mỹ Đình, Nam Từ Liêm",Nhân viên
Artist,Công ty Cổ phần Lotus Media,"- Hà Nội: Tòa A, Hateco Yên Sở, Hoàng Mai, Hoàng Mai",Nhân viên
Java Backend Leader,Công ty cổ phần PayPay,"- Hà Nội: 34 Nguyễn Khánh Toàn, Quan Hoa, Cầu Giấy, Cầu Giấy",Trưởng nhóm
Product Manager,Công ty Cổ phần Công nghệ KiotViet,"- Hà Nội: 1A Yết Kiêu - Phường Cửa Nam, Hoàn Kiếm",Trưởng/Phó phòng
Nhân Viên QA Tester,CÔNG TY CỔ PHẦN GIẢI PHÁP AI VIỆT,"- Hà Nội: Đặng Tiến Đông, Đống Đa",Nhân viên
Giám Đốc Công Nghệ Thông Tin,Công ty Cổ phần Tập đoàn Đầu tư KLB,"- Hà Nội: 48 Lê Văn Lương, Thanh Xuân",Giám đốc
Engineer,Viettel IDC,"- Hà Nội: Tầng 16, Tòa Hapulico Center Building, Số 85 Vũ Trọng Phụng, Thanh Xuân - Hồ Chí Minh: Viettel Complex, Cách Mạng Tháng 8, Phường 12 0, Tân Bình",Nhân viên
QA Tester Banking,Công ty Cổ phần 9Pay,"- Hà Nội - Hà Nội: Số 19 Tố Hữu, Nam Từ Liêm",Quản lý / Giám sát
Solution Architect,FPT Software,"- Hà Nội: FPT Building, 17 Duy Tân Str., Cầu Giấy District, Hanoi, Cầu Giấy - Hồ Chí Minh: F-Town 3, 3 Võ Chí Công, Phường Long Thạnh Mỹ Ho Chi Minh City, Vietnam, Thủ Đức - Đà Nẵng: Tòa Nhà FPT Complex, Ðường Nam Kỳ Khởi Nghĩa, Phường Hoà Hải TP.Ðà Nẵng, Ngũ Hành Sơn - Thừa Thiên Huế: The Manor Crown, 62 To Huu, Hue City, TP Huế ...và 1 địa điểm khác Thu gọn",Nhân viên
NET Developer,CÔNG TY CỔ PHẦN PHẦN MỀM NOBI VIỆT NAM,- Hà Nội,Trưởng nhóm
Chuyên Viên Kiểm Thử Phần Mềm Tester,CÔNG TY TNHH VETC DIGITAL,"- Hà Nội: Tasco Building, HH2-2, Phạm Hùng, Nam Từ Liêm",Nhân viên
Business Analyst,Công ty cổ phần BUFF Fintech,"- Hà Nội: Tầng M, Yên Hòa ParkView, số 3 Vũ Phạm Hàm, Cầu Giấy",Nhân viên
Android Developer Kotlin,Công ty TNHH Đầu Tư và Phát Triển Phần Mềm Bắc Hà,"- Hà Nội: Tòa C5 - D'capitale, Trần Duy Hưng, Cầu Giấy",Nhân viên
2D Artist Marketing,CÔNG TY TNHH CÔNG NGHỆ NHẬN THỨC MÁY HORUS AI,"- Hà Nội: tòa Ct2D, VOV, Mễ Trì, Nam Từ Liêm, Nam Từ Liêm",Nhân viên
Devops Engineer,Công ty Cổ phần Funtap,"- Hà Nội: Tầng 4, tòa nhà Tây Hà, số 19 Tố Hữu, Nam Từ Liêm",Nhân viên
Chuyên Viên Phân Tích Nghiệp Vụ Business Analyst,Công ty Cổ phần viễn thông FPT,"- Hà Nội: Tòa nhà Detech 2 số 107 Nguyễn Phong Sắc, Cầu Giấy",Trưởng nhóm
Java Developer,Công Ty Cổ Phần GoGroup,"- Hà Nội - Hà Nội: 20 đức giang, Long Biên - Hà Nội: 19 lê văn lương, Cầu Giấy",Nhân viên
Fresher Backend Java,Công ty Cổ phần Falcon Technology,"- Hà Nội: Tòa nhà Rivera Park, 69 Đ. Vũ Trọng Phụng, Thanh Xuân",Nhân viên
Business Analyst,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ CARO,"- Hà Nội: Tầng 7, số 8 Ngõ 21 Lê Văn Lương, Thanh Xuân, Thanh Xuân",Nhân viên
Lập Trình Viên Phát Triển Ứng Dụng Dự Án Giáo Dục,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ BẦU TRỜI XANH,"- Hà Nội: BT16B6-32, Làng Việt Kiều Châu Âu, P. Mộ Lao, Hà Đông",Nhân viên
NET Developer,Công ty TNHH SETA international Việt Nam,"- Hà Nội: Tòa nhà HL, ngõ 82, Duy Tân, Cầu Giấy",Nhân viên
Tester Nhân Viên Kiểm Thử Phần Mềm,CÔNG TY TNHH HORUS PRODUCTIONS,"- Hà Nội: Tầng 2 tòa VOV Mễ Trì, Nam Từ Liêm",Trưởng nhóm
Fullstack Developer Golang Python Đống Đa Hà Nội,OpenCommerce Group,"- Hà Nội: 36 Hoàng Cầu, Đống Đa",Nhân viên
Game Developer,CÔNG TY TNHH ULT VIỆT NAM,"- Hà Nội: tầng 27 tòa nhà Ellipse , Trần Phú, Hà Đông, Hà Đông",Nhân viên
Backend Developer,CÔNG TY TNHH NEO TALENT,"- Hà Nội: Nguyễn Hoàng, Bắc Từ Liêm",Trưởng nhóm
IOS Flutter Developer,Công ty cổ phần BEE TECH ASIA,"- Hà Nội: Tầng 4, TTTM Hà Thành, 102 Thái Thịnh, Trung Liêt, Đống Đa, Đống Đa",Nhân viên
Chuyên Viên Quản Trị Hệ Thống,CÔNG TY TNHH VETC DIGITAL,"- Hà Nội: Tasco Building, HH2-2, Phạm Hùng, Nam Từ Liêm",Nhân viên
Lập Trình Viên Android,CÔNG TY CỔ PHẦN CÔNG NGHỆ ALPHAWAY,"- Hà Nội: 21 Cát Linh, Đống Đa",Trưởng nhóm
Business Analyst,CÔNG TY TNHH BMBSOFT VIỆT NAM,"- Hà Nội: No. 11–12, Lot 4, Bao Nhân Dân Area, Trinh Van Bo Street, Xuan Phuong Ward, Hanoi., Nam Từ Liêm",Trưởng nhóm
Fresher Business Analyst,CÔNG TY CỔ PHẦN CÔNG NGHỆ UPBASE,"- Hà Nội: Tầng 3, Diamond Flower, 48 Lê Văn Lương, Thanh Xuân",Nhân viên
Network Engineer,CÔNG TY CỔ PHẦN THIẾT BỊ VÀ TRUYỀN THÔNG NGS,"- Hà Nội: Tòa 6th Element Nguyễn Văn Huyên, Cầu Giấy, Cầu Giấy",Nhân viên
Quản Trị Cơ Sở Dữ Liệu DBA,Công ty CP Giải pháp Thanh toán Việt Nam (VNPAY),"- Hà Nội: 22 Láng Hạ, Phường Láng, Đống Đa",Nhân viên
Kỹ Sư Đảm Bảo Chất Lượng Fresher QA Tester Tiếng Anh Hà Nội Đà Nẵng,Công Ty TNHH Avepoint Việt Nam,"- Đà Nẵng: 2F Vinh Trung Plaza, No. 255-257 Hung Vuong, Vinh Trung, Thanh Khê - Hà Nội: tầng 4, Số 3 Lê Trọng Tấn, Thanh Xuân",Nhân viên
ReactJS Developer,Công ty TNHH Dịch vụ công nghệ TP,"- Hà Nội: Tầng 2 tháp A, Toà nhà Rivera Park, 69 Vũ Trọng Phụng, phường Thanh Xuân, Thanh Xuân",Nhân viên
Kỹ Sư Dữ Liệu Data Engineer,Khối Công nghệ thông tin - Viettel Telecom,"- Hà Nội: Tầng 42 + 43, tòa nhà Keangnam Landmark 72 Phạm Hùng, Nam Từ Liêm",Nhân viên
Flutter Developer,CÔNG TY TNHH VETC DIGITAL,"- Hà Nội: Tasco Building, HH2-2, Phạm Hùng, Nam Từ Liêm",Nhân viên
Android Developer Kotlin,Công ty TNHH Dịch vụ công nghệ TP,- Hà Nội,Nhân viên
Thực Tập Sinh Devops,FPT Software,"- Hà Nội: 10 Phạm Văn Bạc, Cầu Giấy",Thực tập sinh
Chuyên Viên Quản Trị Mạng Network Engineer,CÔNG TY TNHH VETC DIGITAL,"- Hà Nội: Tasco Building, HH2-2, Phạm Hùng, Nam Từ Liêm",Nhân viên
Technical Leader,Công ty TNHH AIRCLOSET ENGINEERING,"- Hà Nội: Tầng 10, tòa nhà 3D Center -số 3 Duy Tân, Cầu Giấy",Trưởng nhóm
Full Stack Engineer,Công ty Cổ phần GEM,"- Hà Nội: Tòa The Nine, số 9 Phạm Văn Đồng, Mai Dịch, Cầu Giấy - Hồ Chí Minh: Tầng 8, Hưng Bình Tower, 669 Điện Biên Phủ, Phường 25, Bình Thạnh, Bình Thạnh",Nhân viên
Project Manager Dự Án Bank,Công ty cổ phần Synodus,"- Hà Nội: CIC Tower, 2/219 Trung Kín, Cầu Giấy",Trưởng nhóm
Kỹ Thuật Viên,Chi nhánh CTCP Giáo dục ISMART tại Hà Nội,- Hà Nội: Nam Từ Liêm - Hà Nội: Hoài Đức,Nhân viên
Lập Trình Mobile,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,"- Hà Nội: 101 Láng Hạ, Đống Đa",Nhân viên
Python,Công ty Cổ phẩn Thương mại Dược Vương,"- Hà Nội: Tầng 5, toà 32C The Golden An Khánh, Hoài Đức",Trưởng nhóm
DevOps Engineer,CÔNG TY TNHH VETC DIGITAL,"- Hà Nội: Tasco Building, HH2-2, Phạm Hùng, Nam Từ Liêm",Nhân viên
Business Analyst,CÔNG TY TNHH GEMCOMMERCE,"- Hà Nội: Tòa Artemis, số 3 Lê Trọng Tấn, Thanh Xuân",Trưởng nhóm
Chuyên Viên Quản Lý Chất Lượng,Công ty TNHH Đầu tư phát triển và chuyển giao công nghệ Vina,"- Hà Nội: Tầng 5, Tòa Golden Park, 2 Phạm Văn Bạch, Yên Hòa, Cầu Giấy",Nhân viên
Chuyên Viên Kiểm Thử Phần Mềm Tester,Công ty Cổ phần SIMBATECH,"- Hà Nội: Tòa nhà MB 18 Lê Văn Lương, Cầu Giấy - Hà Nội: 21 Cát Linh, Đống Đa",Nhân viên
DevOps Engineer,CÔNG TY CỔ PHẦN JARVIS GLOBAL,"- Hà Nội: Trung Hoà, Cầu Giấy, Cầu Giấy",Nhân viên
Fullstack Engineer,FPT Smart Cloud (FCI),"- Hà Nội: tòa FPT Tower, số 10 Phạm Văn Bạch, Cầu Giấy",Quản lý / Giám sát
